,Open,High,Close
647,127.39,127.56,126.32
648,126.68,127.62,127.62
649,124.77,126.08,125.26
650,126.56,126.75,125.01
651,128.15,128.45,125.8
652,129.5,130.57,128.7
653,126.1,130.13,128.95
654,128.64,127.88,125.15
655,130.16,131.59,128.64
656,134.46,134.54,130.56
657,132.31,133.13,132.65
658,130.49,130.63,130.28
659,128.3,130.42,129.67
660,126.99,128.87,128.62
661,128.1,128.2,126.91
662,125.57,128.12,127.6
663,125.55,126.14,124.75
664,126.28,127.1,126.17
665,126.41,127.13,126.78
666,127.0,127.29,126.3
667,128.37,128.57,126.85
668,125.95,127.21,127.1
669,125.85,126.58,126.56
670,125.85,126.4,125.6
671,127.64,128.12,126.01
672,124.47,127.51,127.35
673,125.03,125.56,125.32
674,124.82,125.12,124.25
675,126.09,126.49,124.43
676,124.05,126.4,126.37
677,124.57,124.7,123.25
678,122.76,124.88,124.24
679,126.54,126.82,123.38
680,127.23,128.04,126.69
681,127.12,127.85,127.21
682,128.25,128.4,125.9
683,128.75,129.25,127.5
684,127.0,129.16,128.47
685,125.9,127.32,127.04
686,123.88,124.95,124.95
687,124.4,125.4,123.59
688,122.31,124.9,124.45
689,124.75,124.77,122.24
690,126.41,127.22,124.51
691,127.96,129.57,127.14
692,128.4,129.37,126.6
693,128.58,128.75,126.41
694,129.1,129.56,128.54
695,128.96,129.52,129.36
696,129.25,130.28,129.09
697,130.0,130.57,128.46
698,128.78,130.87,130.42
699,131.56,131.6,128.79
700,132.94,133.6,132.17
701,130.02,133.0,133.0
702,128.62,129.5,129.5
703,128.48,129.03,128.45
704,127.62,128.78,128.72
705,127.49,128.88,127.83
706,127.28,127.28,127.08
707,126.06,127.48,126.46
708,122.77,124.92,124.88
709,120.17,122.15,122.02
710,118.55,119.84,119.72
711,120.02,120.25,118.93
712,120.02,120.23,119.94
713,118.5,120.51,119.56
714,118.5,119.09,118.65
715,118.05,119.17,118.63
716,118.4,120.0,117.16
717,116.32,119.19,118.9
718,117.62,118.12,115.31
719,112.42,112.48,109.14
720,113.74,114.36,113.1
721,112.3,113.75,112.98
722,110.26,112.47,112.4
723,108.95,111.06,109.55
724,107.84,108.97,108.72
725,107.03,107.58,105.99
726,110.0,110.06,106.82
727,109.04,110.49,109.8
728,111.43,112.8,110.22
729,112.6,112.63,109.25
730,112.67,113.25,112.01
731,109.23,112.15,111.89
732,107.2,108.2,107.75
733,106.54,107.43,106.26
734,108.29,108.65,106.25
735,111.39,111.44,109.33
736,112.82,113.13,110.38
737,113.64,113.92,112.52
738,113.79,114.77,113.91
739,112.1,114.52,113.99
740,112.58,112.71,112.01
741,113.23,113.33,112.54
742,112.16,113.49,112.94
743,112.26,113.24,111.78
744,111.87,112.65,112.65
745,107.12,109.84,109.41
746,106.37,110.16,106.74
747,110.7,111.6,108.22
748,110.46,111.87,109.73
749,112.26,113.8,111.62
750,114.41,114.85,111.95
751,110.19,114.3,114.12
752,114.1,114.65,112.4
753,115.99,116.08,115.0
754,115.77,117.2,115.49
755,115.75,116.35,115.93
756,113.5,115.75,114.63
757,118.81,119.25,115.07
758,119.27,119.4,118.93
759,117.94,119.1,119.0
